"23997","# doc = Pro_zhivotnyh.2.txt","","","","","","","","","","","","","","","",""
"23998","# speaker = Я","","","","","","","","","","","","","","","",""
"23999","","Расскажи","РАССКАЗАТЬ","V pf - sg imper - 2p","","","   _Расскажи_ мне что-нибудь про","и","ж","а","к","с","с","V","РАССКАЗАТЬ","V pf - sg imper - 2p","Ь"
"24000","","мне","Я","SPRO sg 1p - dat","","","  Расскажи _мне_ что-нибудь про домашних","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"24001","","что-нибудь","ЧТО-НИБУДЬ","SPRO n inan acc sg","",""," Расскажи мне _что-нибудь_ про домашних животных","ь","д","у","б","и","н","SPRO","ЧТО-НИБУДЬ","S n - acc sg","Ь"
"24002","","про","ПРО","PR","","","Расскажи мне что-нибудь _про_ домашних животных ,","о","р","п","","","","PR","ПРО","PR","О"
"24003","","домашних","ДОМАШНИЙ","A - acc pl plen - -","","","мне что-нибудь про _домашних_ животных , например","х","и","н","ш","а","м","A","ДОМАШНИЙ","A - gen pl plen - -","Й"
"24004","","животных","ЖИВОТНОЕ","S n anim acc pl","","","что-нибудь про домашних _животных_ , например .","х","ы","н","т","о","в","S","ЖИВОТНОЕ","S n anim gen pl","Е"
"24005","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"24006","","например","НАПРИМЕР","PARENTH -","","","домашних животных , _например_ .  ","р","е","м","и","р","п","ADV","НАПРИМЕР","ADV -","Р"
"24007","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"24008","","","","","","","","","","","","","","","","",""
"24009","# sent = 1698","","","","","","","","","","","","","","","",""
"24010","# speaker = Маша","","","","","","","","","","","","","","","",""
"24011","# sent = 1699","","","","","","","","","","","","","","","",""
"24012","","Интересно","ИНТЕРЕСНО","ADV -","","","   _Интересно_ , интересно (","о","н","с","е","р","е","ADV","ИНТЕРЕСНО","ADV -","О"
"24013","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"24014","","интересно","ИНТЕРЕСНО","ADV -","",""," Интересно , _интересно_ ( смеется )","о","н","с","е","р","е","ADV","ИНТЕРЕСНО","ADV -","О"
"24015","","(","(","PUNCT","","","","","","","","","","PUNCT","","",""
"24016","","смеется","СМЕЯТЬСЯ","V ipf praes sg indic - 3p","","",", интересно ( _смеется_ ) . ","я","с","т","е","е","м","V","СМЕЯТЬСЯ","V ipf praes sg indic - 3p","Я"
"24017","",")",")","PUNCT","","","","","","","","","","PUNCT","","",""
"24018","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"24019","","","","","","","","","","","","","","","","",""
"24020","# sent = 1700","","","","","","","","","","","","","","","",""
"24021","","Про","ПРО","PR","","",".   _Про_ наших домашних животных","о","р","п","","","","PR","ПРО","PR","О"
